,rAB,rBC,rCD,rAC,rBD,rAD,C1,C2,C3,C4,lg
1,0.5,0.018554323,0.5,0.5,0.5,0.027816658,1,1,1.907262482,0.000119766,1
2,0.024783292,0.033024044,0.5,0.035770961,0.5,0.5,13.46235084,1,1,13.46235084,1
3,0.009174546,0.021406956,0.039755571,0.018348854,0.030581264,0.027523161,31.14232282,17.96687375,0.000326834,0.007633832,1
4,0.003061827,0.033987269,0.039138933,0.030925895,0.011271361,0.008213491,29.42060498,23.24975852,0.014617617,0.430090956,1
5,0.043624587,0.043624587,0.5,0.076320139,0.5,0.5,2.871370027,1,1,2.871370027,1
6,0.025179074,0.048180412,0.04805065,0.023052391,0.015845632,0.025048563,20.73428099,17.36111306,14.19265172,294.523314,1
7,0.009146576,0.012195355,0.02743925,0.009146576,0.02743925,0.024390471,54.66526777,18.22207258,0.000474984,0.019473989,1
8,0.017464052,0.074484954,0.033956409,0.057175047,0.05306316,0.035691215,13.36628078,10.94759068,0.057909517,0.037609449,1
9,0.047117069,0.024095407,0.035590207,0.023057861,0.059605026,0.038762627,21.20778866,0.046986513,5.942457879,0.773633966,1
10,0.019267439,0.045731707,0.094512195,0.052801747,0.12195122,0.129017587,6.921430348,2.116129032,0.002243288,0.01350406,1
11,0.029899022,0.029621606,0.017548036,0.015617348,0.030446293,0.024039313,24.78571152,16.08629883,7.240448913,244.4248799,1
12,0.5,0.5,0.5,0.049395758,0.015618726,0.5,1.901208483,1.968762549,1.86999269,3.739963721,1
13,0.073785256,0.014083318,0.018892106,0.068638301,0.024064304,0.049917904,9.252963893,16.7462247,10.30008256,0.183373272,1
14,0.03051429,0.021672964,0.033494768,0.02909591,0.034913148,0.015859807,17.45812633,13.95076594,12.95230059,4.89E-05,1
15,0.033820643,0.022377094,0.014207627,0.026929402,0.02534177,0.025486723,19.33670518,17.68174405,4.586135953,0.000544578,1
16,0.042079208,0.029712968,0.00743563,0.012366371,0.037128713,0.01980198,23.76465359,0.045001428,0.031790528,1.069143004,1
17,0.021236114,0.036253723,0.03461466,0.044540113,0.014501286,0.026768227,8.41013319,22.45861584,13.75441094,227.0383542,1
18,0.129110486,0.059540234,1.66E-05,0.071413753,0.059523657,0.071429964,7.62539818,16.79110738,7.656102257,128.5869836,1
19,0.02142724,0.5,0.018752546,0.5,0.5,0.5,1,1,0.001211939,0.001211939,1
20,0.5,0.027397711,0.027397711,0.5,0.054794945,0.5,1,0.000317623,1,0.000317623,1
21,0.009174312,0.042047224,0.017802524,0.032875421,0.032110092,0.032110092,23.7795313,18.52900812,28.08590563,667.869672,1
22,0.011730322,0.014662872,0.00293267,0.00293267,0.011730322,1.19E-07,68.19911526,68.19807568,0.001732635,0.059082377,1
23,0.5,0.5,0.008985195,0.026894549,0.5,0.023909657,1.946210901,1,1,0.66779881,1
24,0.023041475,0.016167102,0.00696272,0.020787597,0.013824885,0.01843318,24.72522617,41.33065996,0.038071049,0.00146668,1
25,0.5,0.017485811,0.017485811,0.5,0.029953878,0.5,1,8.205536138,1,8.205536138,1
26,0.5,0.5,0.005571502,0.019499065,0.5,0.01392804,1.961001869,1,1,8.56E-05,1
27,0.043345605,0.030305298,0.055491833,0.073571646,0.025186583,0.018223953,0.03016823,18.02065532,10.47412567,0.543320568,1
28,0.029130763,0.035142044,0.036611044,0.017375277,0.024538013,0.030446307,22.90556969,18.34896436,13.21066548,345.882059,1
29,0.005174864,0.012919897,0.028423773,0.007758844,0.025839793,0.020664968,77.29671228,21.10909091,0.046819563,8.77E-07,1
30,0.5,0.028509792,0.03483852,0.5,0.056989066,0.5,1,3.201266553,1,3.201266553,1
31,0.012285477,0.031941478,0.029484478,0.034398478,0.041769479,0.044226479,12.52302343,10.43583598,0.000658195,0.01030314,1
32,0.019498836,0.011142294,0.013927808,0.013927808,0.019498836,0.02228435,38.4635594,17.95008537,0.000438954,0.019697631,1
33,0.023952502,0.01199151,0.5,0.026344701,0.5,0.5,16.71034144,1,1,16.71034144,1
34,0.5,0.06823453,0.03130722,0.5,0.054031719,0.5,1,10.65193301,1,10.65193301,1
35,0.00738928,0.002463173,0.002463173,0.009852334,1.19E-07,0.00738928,0.003274787,405.9706237,0.003274787,0.664749808,1
36,0.019324588,0.028986406,0.067633675,0.038648223,0.043479132,0.053140949,8.625158315,13.55320348,3.696565918,63.76378576,1
37,0.048518381,0.040432143,0.013478017,0.040432143,0.043127556,0.048518381,12.36639856,9.893293852,4.12258657,101.9540798,1
38,0.015283592,0.01249822,0.018091839,0.013875013,0.016671642,0.02087721,36.40185963,30.77719027,5.115174522,409.2721534,1
39,0.035234799,0.015463918,0.018041237,0.03008016,0.023195876,0.037789259,18.92068841,18.47619048,0.017980877,6.89E-16,1
40,0.015902705,0.015904723,0.041558442,0.020779221,0.03668394,0.041558442,21.80107003,15.71860442,1.76E-05,0.000653357,1
41,0.002487799,0.034826092,0.039801214,0.032338531,0.05472658,0.052239019,28.71272692,7.178568708,0.001203922,0.017284773,1
42,0.00952381,0.025396825,0.004765754,0.022222222,0.023806681,0.023806681,26.25,26.25644436,104.9151956,2754.023885,1
43,0.014150828,0.015224253,0.006000936,0.029375081,0.016238629,0.030386394,4.98E-11,27.29078802,0.018033619,7.63E-13,1
44,0.009888101,0.023685198,0.026265949,0.023820536,0.049885279,0.05002021,20.82129597,0.052938262,0.008677433,0.166609332,1
45,0.010444098,0.013055062,0.010444098,0.002611203,0.013055062,0.007833133,76.59776332,38.29931881,23.9375114,1833.538905,1
46,0.01546438,0.005155111,0.5,0.020619014,0.5,0.5,0.002990677,1,1,0.002990677,1
47,0.026178252,0.018859698,0.028778137,0.026279712,0.033077225,0.047720505,18.99707173,13.41381048,4.844141425,255.5228247,1
48,0.038690476,0.014418772,0.035249623,0.047156366,0.026785714,0.05952381,5.335374325,22.51096755,0.000183456,0.01272322,1
49,0.017074932,0.5,0.5,0.5,0.054004496,0.042641553,1,1.891991008,1,0.334524849,1
50,0.057801647,0.038278671,4.66E-10,0.084699454,0.038278671,0.084699454,2.571865088,13.06210436,8.650272553,112.9907628,1
51,0.012469758,0.009975997,0.029926084,0.017457279,0.034913605,0.037407366,20.05042141,8.354714981,6.683899777,0.064043621,1
52,0.029024645,0.029024645,0.036940197,0.021109093,0.039578715,0.042217232,21.92478686,12.30494103,4.922243253,169.5807436,1
53,0.011680716,0.008174623,0.017285008,0.019853774,0.020853816,0.032525372,0.008189777,16.29818173,0.019184101,0.022851042,1
54,0.024862785,0.019337933,0.04696219,0.02762521,0.055249467,0.04696219,17.23760859,6.084146695,7.098044741,0.010559222,1
55,0.017454629,0.05875491,0.08074925,0.054997101,0.022248819,0.039682904,10.34202999,12.35719716,7.520518588,127.9749774,1
56,0.017448575,0.5,0.014960167,0.5,0.5,0.5,1,1,0.000474273,0.000474273,1
57,0.064482088,0.5,0.018076065,0.5,0.5,0.5,1,1,0.015696931,0.015696931,1
58,0.020333847,0.5,0.5,0.5,0.017795931,0.027947595,1,1.964408139,1,1.499249587,1
59,0.5,0.5,0.5,0.027957702,0.01526311,0.5,1.944084596,1.96947378,1.913561077,3.827119453,1
60,0.013511434,0.5,0.016207773,0.5,0.5,0.5,1,1,0.00031889,0.00031889,1
61,0.004941217,0.5,0.5,0.5,0.017256112,0.017256112,1,1.965487776,1,1,1
62,2.38E-07,0.5,0.5,0.5,0.00537658,0.00537658,1,1.98924684,1,1,1
63,0.005444525,0.021530307,0.008042896,0.016085791,0.024208829,0.018766756,46.44611855,15.48910815,0.027904756,1.296037778,1
64,0.010582477,0.015873478,0.018518978,0.015873478,0.018518978,0.018518978,31.49908378,26.99933054,0.001216566,0.03832072,1
65,0.032815402,0.5,0.5,0.5,0.027351254,0.01642296,1,1.945297491,1,0.666976659,1
66,0.028011204,0.030812325,0.014008953,0.025210084,0.016803978,0.011207786,19.47272727,32.45384287,0.007834958,0.252197469,1
67,0.5,0.016378294,0.019102923,0.5,0.013653664,0.5,1,34.88241674,1,34.88241674,1
68,0.026291381,0.5,0.021516529,0.5,0.5,0.5,1,1,0.002464801,0.002464801,1
69,0.5,0.018585989,0.5,0.5,0.5,0.007973931,1,1,1.946880263,2.80E-06,1
70,0.030477609,0.035503955,0.032050768,0.040296565,0.067370609,0.072143405,11.86839342,0.080898686,0.04665011,0.514144788,1
71,0.047323961,0.017945308,0.02425725,0.065165516,0.020431346,0.067633903,0.061085164,25.00691567,0.04416531,1.016337353,1
72,0.026414131,0.5,0.5,0.5,0.044882661,0.060712829,1,1.910234678,1,1.59930679,1
73,0.010958812,0.021887107,0.5,0.01642296,0.5,0.5,34.23494082,1,1,34.23494082,1
74,0.016587678,0.011848341,0.029066601,0.014218009,0.036174855,0.038534347,36.17142857,6.881838807,0.012109854,0.065667299,1
75,0.5,0.022007198,0.030248453,0.5,0.030248453,0.5,1,16.52977078,1,16.52977078,1
76,0.019608072,0.007353176,0.014706114,0.012255135,0.022059051,0.02696101,50.9985774,0.001102395,0.000413406,0.028110743,1
